text,entities
Sâu đục thân ở ngô NK7328 xử lý như thế nào,"[{""type"": ""CROP"", ""value"": ""ngô NK7328"", ""start"": 15, ""end"": 25}]"
cà phê Arabica cần bón phân gì,"[{""type"": ""CROP"", ""value"": ""cà phê Arabica"", ""start"": 0, ""end"": 14}]"
Bệnh vàng lá ở húng quế xử lý như thế nào,"[{""type"": ""CROP"", ""value"": ""húng quế"", ""start"": 15, ""end"": 23}]"
khu F có độ ẩm không khí bao nhiêu,"[{""type"": ""AREA"", ""value"": ""khu F"", ""start"": 0, ""end"": 5}, {""type"": ""METRIC"", ""value"": ""độ ẩm không khí"", ""start"": 9, ""end"": 24}]"
"nhiệt độ khu J cao quá, tắt hệ thống tưới","[{""type"": ""METRIC"", ""value"": ""nhiệt độ"", ""start"": 0, ""end"": 8}, {""type"": ""AREA"", ""value"": ""khu J"", ""start"": 9, ""end"": 14}, {""type"": ""DEVICE"", ""value"": ""hệ thống tưới"", ""start"": 28, ""end"": 41}]"
Xem ánh sáng ở khu H,"[{""type"": ""METRIC"", ""value"": ""ánh sáng"", ""start"": 4, ""end"": 12}, {""type"": ""AREA"", ""value"": ""khu H"", ""start"": 15, ""end"": 20}]"
Đất trồng phù hợp cho cây khoai mì,"[{""type"": ""CROP"", ""value"": ""khoai mì"", ""start"": 26, ""end"": 34}]"
Tắt đèn chiếu sáng,"[{""type"": ""DEVICE"", ""value"": ""đèn chiếu sáng"", ""start"": 4, ""end"": 18}]"
Bật máy tưới ở khu V vì lux thấp,"[{""type"": ""DEVICE"", ""value"": ""máy tưới"", ""start"": 4, ""end"": 12}, {""type"": ""AREA"", ""value"": ""khu V"", ""start"": 15, ""end"": 20}, {""type"": ""METRIC"", ""value"": ""lux"", ""start"": 24, ""end"": 27}]"
"nhiệt độ khu 3 cao quá, tắt đèn chiếu sáng","[{""type"": ""METRIC"", ""value"": ""nhiệt độ"", ""start"": 0, ""end"": 8}, {""type"": ""AREA"", ""value"": ""khu 3"", ""start"": 9, ""end"": 14}, {""type"": ""DEVICE"", ""value"": ""đèn chiếu sáng"", ""start"": 28, ""end"": 42}]"
Tôi muốn biết về giống hoa lan,"[{""type"": ""CROP"", ""value"": ""hoa lan"", ""start"": 23, ""end"": 30}]"
Bật đèn ở khu R,"[{""type"": ""DEVICE"", ""value"": ""đèn"", ""start"": 4, ""end"": 7}, {""type"": ""AREA"", ""value"": ""khu R"", ""start"": 10, ""end"": 15}]"
Bật bóng đèn ở khu Z,"[{""type"": ""DEVICE"", ""value"": ""bóng đèn"", ""start"": 4, ""end"": 12}, {""type"": ""AREA"", ""value"": ""khu Z"", ""start"": 15, ""end"": 20}]"
Bật hệ thống tưới khu 5 1 ngày,"[{""type"": ""DEVICE"", ""value"": ""hệ thống tưới"", ""start"": 4, ""end"": 17}, {""type"": ""AREA"", ""value"": ""khu 5"", ""start"": 18, ""end"": 23}, {""type"": ""DURATION"", ""value"": ""1 ngày"", ""start"": 24, ""end"": 30}]"
nhiệt độ đất ở khu 1,"[{""type"": ""METRIC"", ""value"": ""nhiệt độ đất"", ""start"": 0, ""end"": 12}, {""type"": ""AREA"", ""value"": ""khu 1"", ""start"": 15, ""end"": 20}]"
Thông tin về giống cần tây,"[{""type"": ""CROP"", ""value"": ""cần tây"", ""start"": 19, ""end"": 26}]"
Dấu hiệu của thì là thiếu chất dinh dưỡng,"[{""type"": ""CROP"", ""value"": ""thì là"", ""start"": 13, ""end"": 19}]"
độ ẩm không khí ở khu H,"[{""type"": ""METRIC"", ""value"": ""độ ẩm không khí"", ""start"": 0, ""end"": 15}, {""type"": ""AREA"", ""value"": ""khu H"", ""start"": 18, ""end"": 23}]"
Bệnh vàng lá ở măng tây xử lý như thế nào,"[{""type"": ""CROP"", ""value"": ""măng tây"", ""start"": 15, ""end"": 23}]"
Bệnh thối rễ ở dưa hấu xử lý như thế nào,"[{""type"": ""CROP"", ""value"": ""dưa hấu"", ""start"": 15, ""end"": 22}]"
Dấu hiệu của nhãn Ido thiếu đạm,"[{""type"": ""CROP"", ""value"": ""nhãn Ido"", ""start"": 13, ""end"": 21}]"
Doanh thu quý trước bao nhiêu,"[{""type"": ""DATE"", ""value"": ""quý trước"", ""start"": 10, ""end"": 19}]"
Dấu hiệu của mía thiếu kali,"[{""type"": ""CROP"", ""value"": ""mía"", ""start"": 13, ""end"": 16}]"
Bệnh phấn trắng ở hành tím xử lý như thế nào,"[{""type"": ""CROP"", ""value"": ""hành tím"", ""start"": 18, ""end"": 26}]"
Tưới 1 ngày,"[{""type"": ""DURATION"", ""value"": ""1 ngày"", ""start"": 5, ""end"": 11}]"
Doanh thu tháng 5 bao nhiêu,"[{""type"": ""DATE"", ""value"": ""tháng 5"", ""start"": 10, ""end"": 17}]"
Bật đèn chiếu sáng ở khu C trong 1 giờ,"[{""type"": ""DEVICE"", ""value"": ""đèn chiếu sáng"", ""start"": 4, ""end"": 18}, {""type"": ""AREA"", ""value"": ""khu C"", ""start"": 21, ""end"": 26}, {""type"": ""DURATION"", ""value"": ""1 giờ"", ""start"": 33, ""end"": 38}]"
Tắt đèn chiếu sáng khu G sau 5 giờ,"[{""type"": ""DEVICE"", ""value"": ""đèn chiếu sáng"", ""start"": 4, ""end"": 18}, {""type"": ""AREA"", ""value"": ""khu G"", ""start"": 19, ""end"": 24}, {""type"": ""DURATION"", ""value"": ""5 giờ"", ""start"": 29, ""end"": 34}]"
nhiệt độ ở khu S,"[{""type"": ""METRIC"", ""value"": ""nhiệt độ"", ""start"": 0, ""end"": 8}, {""type"": ""AREA"", ""value"": ""khu S"", ""start"": 11, ""end"": 16}]"
Thông tin về giống dưa leo,"[{""type"": ""CROP"", ""value"": ""dưa leo"", ""start"": 19, ""end"": 26}]"
Bệnh phấn trắng ở đậu cô ve xử lý như thế nào,"[{""type"": ""CROP"", ""value"": ""đậu cô ve"", ""start"": 18, ""end"": 27}]"
Bệnh loét ở sapoche xử lý như thế nào,"[{""type"": ""CROP"", ""value"": ""sapoche"", ""start"": 12, ""end"": 19}]"
ánh sáng ở khu U,"[{""type"": ""METRIC"", ""value"": ""ánh sáng"", ""start"": 0, ""end"": 8}, {""type"": ""AREA"", ""value"": ""khu U"", ""start"": 11, ""end"": 16}]"
Kiểm tra độ ẩm khu 2,"[{""type"": ""METRIC"", ""value"": ""độ ẩm"", ""start"": 9, ""end"": 14}, {""type"": ""AREA"", ""value"": ""khu 2"", ""start"": 15, ""end"": 20}]"
Bật hệ thống tưới ở khu E,"[{""type"": ""DEVICE"", ""value"": ""hệ thống tưới"", ""start"": 4, ""end"": 17}, {""type"": ""AREA"", ""value"": ""khu E"", ""start"": 20, ""end"": 25}]"
Bật đèn chiếu sáng trong 3 giờ,"[{""type"": ""DEVICE"", ""value"": ""đèn chiếu sáng"", ""start"": 4, ""end"": 18}, {""type"": ""DURATION"", ""value"": ""3 giờ"", ""start"": 25, ""end"": 30}]"
độ ẩm khu 4 đang là bao nhiêu,"[{""type"": ""METRIC"", ""value"": ""độ ẩm"", ""start"": 0, ""end"": 5}, {""type"": ""AREA"", ""value"": ""khu 4"", ""start"": 6, ""end"": 11}]"
Bật bơm,"[{""type"": ""DEVICE"", ""value"": ""bơm"", ""start"": 4, ""end"": 7}]"
độ ẩm đất của khu O,"[{""type"": ""METRIC"", ""value"": ""độ ẩm đất"", ""start"": 0, ""end"": 9}, {""type"": ""AREA"", ""value"": ""khu O"", ""start"": 14, ""end"": 19}]"
Bật máy tưới khu Y 5 giờ,"[{""type"": ""DEVICE"", ""value"": ""máy tưới"", ""start"": 4, ""end"": 12}, {""type"": ""AREA"", ""value"": ""khu Y"", ""start"": 13, ""end"": 18}, {""type"": ""DURATION"", ""value"": ""5 giờ"", ""start"": 19, ""end"": 24}]"
Thông tin về giống hạt điều,"[{""type"": ""CROP"", ""value"": ""hạt điều"", ""start"": 19, ""end"": 27}]"
"nhiệt độ khu E cao quá, tắt hệ thống tưới","[{""type"": ""METRIC"", ""value"": ""nhiệt độ"", ""start"": 0, ""end"": 8}, {""type"": ""AREA"", ""value"": ""khu E"", ""start"": 9, ""end"": 14}, {""type"": ""DEVICE"", ""value"": ""hệ thống tưới"", ""start"": 28, ""end"": 41}]"
Bọ trích ở đậu đũa xử lý như thế nào,"[{""type"": ""CROP"", ""value"": ""đậu đũa"", ""start"": 11, ""end"": 18}]"
cường độ ánh sáng là bao nhiêu,"[{""type"": ""METRIC"", ""value"": ""cường độ ánh sáng"", ""start"": 0, ""end"": 17}]"
Sâu đục thân ở sầu riêng xử lý như thế nào,"[{""type"": ""CROP"", ""value"": ""sầu riêng"", ""start"": 15, ""end"": 24}]"
độ ẩm đất của khu 3 hiện tại,"[{""type"": ""METRIC"", ""value"": ""độ ẩm đất"", ""start"": 0, ""end"": 9}, {""type"": ""AREA"", ""value"": ""khu 3"", ""start"": 14, ""end"": 19}]"
Tôi muốn biết về giống bưởi,"[{""type"": ""CROP"", ""value"": ""bưởi"", ""start"": 23, ""end"": 27}]"
Đất trồng phù hợp cho cây cam Cao Phong,"[{""type"": ""CROP"", ""value"": ""cam Cao Phong"", ""start"": 26, ""end"": 39}]"
Doanh thu năm 2024 bao nhiêu,"[{""type"": ""DATE"", ""value"": ""năm 2024"", ""start"": 10, ""end"": 18}]"
Cho tôi thông tin về nguồn gốc của cây thanh long,"[{""type"": ""CROP"", ""value"": ""thanh long"", ""start"": 39, ""end"": 49}]"
Cách trồng hoa huệ,"[{""type"": ""CROP"", ""value"": ""hoa huệ"", ""start"": 11, ""end"": 18}]"
Bật đèn chiếu sáng trong 5 phút,"[{""type"": ""DEVICE"", ""value"": ""đèn chiếu sáng"", ""start"": 4, ""end"": 18}, {""type"": ""DURATION"", ""value"": ""5 phút"", ""start"": 25, ""end"": 31}]"
Bật bóng đèn ở khu W,"[{""type"": ""DEVICE"", ""value"": ""bóng đèn"", ""start"": 4, ""end"": 12}, {""type"": ""AREA"", ""value"": ""khu W"", ""start"": 15, ""end"": 20}]"
Tổng chi phí tháng 8,"[{""type"": ""DATE"", ""value"": ""tháng 8"", ""start"": 13, ""end"": 20}]"
Cho tôi thông tin về cây mướp,"[{""type"": ""CROP"", ""value"": ""mướp"", ""start"": 25, ""end"": 29}]"
Xem nhiệt độ không khí ở khu 4,"[{""type"": ""METRIC"", ""value"": ""nhiệt độ không khí"", ""start"": 4, ""end"": 22}, {""type"": ""AREA"", ""value"": ""khu 4"", ""start"": 25, ""end"": 30}]"
Tôi muốn biết về giống sầu riêng,"[{""type"": ""CROP"", ""value"": ""sầu riêng"", ""start"": 23, ""end"": 32}]"
Dấu hiệu của bơ sáp thiếu kali,"[{""type"": ""CROP"", ""value"": ""bơ sáp"", ""start"": 13, ""end"": 19}]"
Bệnh phấn trắng ở hoa cúc xử lý như thế nào,"[{""type"": ""CROP"", ""value"": ""hoa cúc"", ""start"": 18, ""end"": 25}]"
bưởi Năm Roi có yêu cầu gì về sinh thái,"[{""type"": ""CROP"", ""value"": ""bưởi Năm Roi"", ""start"": 0, ""end"": 12}]"
Kỹ thuật chăm sóc ổi Nữ Hoàng,"[{""type"": ""CROP"", ""value"": ""ổi Nữ Hoàng"", ""start"": 18, ""end"": 29}]"
Bệnh vàng lá ở nấm xử lý như thế nào,"[{""type"": ""CROP"", ""value"": ""nấm"", ""start"": 15, ""end"": 18}]"
Dấu hiệu của tiêu đen thiếu đạm,"[{""type"": ""CROP"", ""value"": ""tiêu đen"", ""start"": 13, ""end"": 21}]"
khu 4 có độ ẩm không khí bao nhiêu,"[{""type"": ""AREA"", ""value"": ""khu 4"", ""start"": 0, ""end"": 5}, {""type"": ""METRIC"", ""value"": ""độ ẩm không khí"", ""start"": 9, ""end"": 24}]"
Bệnh loét ở ớt sừng xử lý như thế nào,"[{""type"": ""CROP"", ""value"": ""ớt sừng"", ""start"": 12, ""end"": 19}]"
Bọ trích ở bông cải xanh xử lý như thế nào,"[{""type"": ""CROP"", ""value"": ""bông cải xanh"", ""start"": 11, ""end"": 24}]"
nhiệt độ đất của khu J hiện tại,"[{""type"": ""METRIC"", ""value"": ""nhiệt độ đất"", ""start"": 0, ""end"": 12}, {""type"": ""AREA"", ""value"": ""khu J"", ""start"": 17, ""end"": 22}]"
Tôi muốn biết về giống lúa ST25,"[{""type"": ""CROP"", ""value"": ""lúa ST25"", ""start"": 23, ""end"": 31}]"
Kiểm tra nhiệt độ không khí khu P,"[{""type"": ""METRIC"", ""value"": ""nhiệt độ không khí"", ""start"": 9, ""end"": 27}, {""type"": ""AREA"", ""value"": ""khu P"", ""start"": 28, ""end"": 33}]"
Tắt đèn khu P sau 3 giờ,"[{""type"": ""DEVICE"", ""value"": ""đèn"", ""start"": 4, ""end"": 7}, {""type"": ""AREA"", ""value"": ""khu P"", ""start"": 8, ""end"": 13}, {""type"": ""DURATION"", ""value"": ""3 giờ"", ""start"": 18, ""end"": 23}]"
Bón phân cho giai đoạn kích thích ra hoa ở cải ngọt như thế nào,"[{""type"": ""CROP"", ""value"": ""cải ngọt"", ""start"": 43, ""end"": 51}]"
Kiểm tra độ ẩm đất khu M,"[{""type"": ""METRIC"", ""value"": ""độ ẩm đất"", ""start"": 9, ""end"": 18}, {""type"": ""AREA"", ""value"": ""khu M"", ""start"": 19, ""end"": 24}]"
nhiệt độ không khí của khu T hiện tại,"[{""type"": ""METRIC"", ""value"": ""nhiệt độ không khí"", ""start"": 0, ""end"": 18}, {""type"": ""AREA"", ""value"": ""khu T"", ""start"": 23, ""end"": 28}]"
Bệnh vàng lá ở khoai sọ xử lý như thế nào,"[{""type"": ""CROP"", ""value"": ""khoai sọ"", ""start"": 15, ""end"": 23}]"
độ ẩm ở khu L,"[{""type"": ""METRIC"", ""value"": ""độ ẩm"", ""start"": 0, ""end"": 5}, {""type"": ""AREA"", ""value"": ""khu L"", ""start"": 8, ""end"": 13}]"
Tắt hệ thống tưới khu 2 sau nửa tiếng,"[{""type"": ""DEVICE"", ""value"": ""hệ thống tưới"", ""start"": 4, ""end"": 17}, {""type"": ""AREA"", ""value"": ""khu 2"", ""start"": 18, ""end"": 23}, {""type"": ""DURATION"", ""value"": ""nửa tiếng"", ""start"": 28, ""end"": 37}]"
đậu bị bệnh gì,"[{""type"": ""CROP"", ""value"": ""đậu"", ""start"": 0, ""end"": 3}]"
Bệnh thối rễ ở hoa mai xử lý như thế nào,"[{""type"": ""CROP"", ""value"": ""hoa mai"", ""start"": 15, ""end"": 22}]"
Kỹ thuật chăm sóc rau dền,"[{""type"": ""CROP"", ""value"": ""rau dền"", ""start"": 18, ""end"": 25}]"
Bệnh loét ở cà phê xử lý như thế nào,"[{""type"": ""CROP"", ""value"": ""cà phê"", ""start"": 12, ""end"": 18}]"
Kiểm tra độ ẩm không khí khu E,"[{""type"": ""METRIC"", ""value"": ""độ ẩm không khí"", ""start"": 9, ""end"": 24}, {""type"": ""AREA"", ""value"": ""khu E"", ""start"": 25, ""end"": 30}]"
Bật bơm khu Y 5 giờ,"[{""type"": ""DEVICE"", ""value"": ""bơm"", ""start"": 4, ""end"": 7}, {""type"": ""AREA"", ""value"": ""khu Y"", ""start"": 8, ""end"": 13}, {""type"": ""DURATION"", ""value"": ""5 giờ"", ""start"": 14, ""end"": 19}]"
Dấu hiệu của mít tố nữ thiếu đạm,"[{""type"": ""CROP"", ""value"": ""mít tố nữ"", ""start"": 13, ""end"": 22}]"
Tắt máy tưới ở khu A,"[{""type"": ""DEVICE"", ""value"": ""máy tưới"", ""start"": 4, ""end"": 12}, {""type"": ""AREA"", ""value"": ""khu A"", ""start"": 15, ""end"": 20}]"
"độ ẩm không khí khu O cao quá, tắt máy tưới","[{""type"": ""METRIC"", ""value"": ""độ ẩm không khí"", ""start"": 0, ""end"": 15}, {""type"": ""AREA"", ""value"": ""khu O"", ""start"": 16, ""end"": 21}, {""type"": ""DEVICE"", ""value"": ""máy tưới"", ""start"": 35, ""end"": 43}]"
Chi phí năm 2024 là bao nhiêu,"[{""type"": ""DATE"", ""value"": ""năm 2024"", ""start"": 8, ""end"": 16}]"
Bật máy tưới ở khu 1 trong 60 phút,"[{""type"": ""DEVICE"", ""value"": ""máy tưới"", ""start"": 4, ""end"": 12}, {""type"": ""AREA"", ""value"": ""khu 1"", ""start"": 15, ""end"": 20}, {""type"": ""DURATION"", ""value"": ""60 phút"", ""start"": 27, ""end"": 34}]"
đậu xanh bị bệnh gì,"[{""type"": ""CROP"", ""value"": ""đậu xanh"", ""start"": 0, ""end"": 8}]"
Bệnh phấn trắng ở chè Ô Long xử lý như thế nào,"[{""type"": ""CROP"", ""value"": ""chè Ô Long"", ""start"": 18, ""end"": 28}]"
Bệnh ở táo xử lý như thế nào,"[{""type"": ""CROP"", ""value"": ""táo"", ""start"": 7, ""end"": 10}]"
Tắt đèn khu Q sau 3 giờ,"[{""type"": ""DEVICE"", ""value"": ""đèn"", ""start"": 4, ""end"": 7}, {""type"": ""AREA"", ""value"": ""khu Q"", ""start"": 8, ""end"": 13}, {""type"": ""DURATION"", ""value"": ""3 giờ"", ""start"": 18, ""end"": 23}]"
Kỹ thuật chăm sóc cao su,"[{""type"": ""CROP"", ""value"": ""cao su"", ""start"": 18, ""end"": 24}]"
Bệnh hại ở tỏi Lý Sơn xử lý như thế nào,"[{""type"": ""CROP"", ""value"": ""tỏi Lý Sơn"", ""start"": 11, ""end"": 21}]"
Kỹ thuật chăm sóc mận hậu,"[{""type"": ""CROP"", ""value"": ""mận hậu"", ""start"": 18, ""end"": 25}]"
Bọ trích ở hành lá xử lý như thế nào,"[{""type"": ""CROP"", ""value"": ""hành lá"", ""start"": 11, ""end"": 18}]"
độ ẩm đất ở khu S,"[{""type"": ""METRIC"", ""value"": ""độ ẩm đất"", ""start"": 0, ""end"": 9}, {""type"": ""AREA"", ""value"": ""khu S"", ""start"": 12, ""end"": 17}]"
Kiểm tra nhiệt độ không khí khu U,"[{""type"": ""METRIC"", ""value"": ""nhiệt độ không khí"", ""start"": 9, ""end"": 27}, {""type"": ""AREA"", ""value"": ""khu U"", ""start"": 28, ""end"": 33}]"
Dấu hiệu của điều thiếu chất dinh dưỡng,"[{""type"": ""CROP"", ""value"": ""điều"", ""start"": 13, ""end"": 17}]"
Kiểm tra nhiệt độ không khí khu G,"[{""type"": ""METRIC"", ""value"": ""nhiệt độ không khí"", ""start"": 9, ""end"": 27}, {""type"": ""AREA"", ""value"": ""khu G"", ""start"": 28, ""end"": 33}]"
Bệnh loét ở nhãn xuồng cơm vàng xử lý như thế nào,"[{""type"": ""CROP"", ""value"": ""nhãn xuồng cơm vàng"", ""start"": 12, ""end"": 31}]"
Bệnh hại ở khoai sọ xử lý như thế nào,"[{""type"": ""CROP"", ""value"": ""khoai sọ"", ""start"": 11, ""end"": 19}]"
Bệnh loét ở lá lốt xử lý như thế nào,"[{""type"": ""CROP"", ""value"": ""lá lốt"", ""start"": 12, ""end"": 18}]"
Kiểm tra độ ẩm đất khu U,"[{""type"": ""METRIC"", ""value"": ""độ ẩm đất"", ""start"": 9, ""end"": 18}, {""type"": ""AREA"", ""value"": ""khu U"", ""start"": 19, ""end"": 24}]"
Bật hệ thống tưới khu 4 2 giờ,"[{""type"": ""DEVICE"", ""value"": ""hệ thống tưới"", ""start"": 4, ""end"": 17}, {""type"": ""AREA"", ""value"": ""khu 4"", ""start"": 18, ""end"": 23}, {""type"": ""DURATION"", ""value"": ""2 giờ"", ""start"": 24, ""end"": 29}]"
Thu hoạch khoai mỡ khi nào,"[{""type"": ""CROP"", ""value"": ""khoai mỡ"", ""start"": 10, ""end"": 18}]"
Kỹ thuật chăm sóc lạc,"[{""type"": ""CROP"", ""value"": ""lạc"", ""start"": 18, ""end"": 21}]"
Dấu hiệu của khoai lang kén thiếu đạm,"[{""type"": ""CROP"", ""value"": ""khoai lang kén"", ""start"": 13, ""end"": 27}]"
Bón phân cho giai đoạn kích thích ra hoa ở cà rốt như thế nào,"[{""type"": ""CROP"", ""value"": ""cà rốt"", ""start"": 43, ""end"": 49}]"
Thu hoạch chè Shan Tuyết khi nào,"[{""type"": ""CROP"", ""value"": ""chè Shan Tuyết"", ""start"": 10, ""end"": 24}]"
Bệnh loét ở khoai mì xử lý như thế nào,"[{""type"": ""CROP"", ""value"": ""khoai mì"", ""start"": 12, ""end"": 20}]"
Dấu hiệu của dâu tằm thiếu kali,"[{""type"": ""CROP"", ""value"": ""dâu tằm"", ""start"": 13, ""end"": 20}]"
Xem ánh sáng ở khu T,"[{""type"": ""METRIC"", ""value"": ""ánh sáng"", ""start"": 4, ""end"": 12}, {""type"": ""AREA"", ""value"": ""khu T"", ""start"": 15, ""end"": 20}]"
Bón phân cho giai đoạn kích thích ra hoa ở xà lách mỡ như thế nào,"[{""type"": ""CROP"", ""value"": ""xà lách mỡ"", ""start"": 43, ""end"": 53}]"
Cho tôi thông tin về cây mộc nhĩ,"[{""type"": ""CROP"", ""value"": ""mộc nhĩ"", ""start"": 25, ""end"": 32}]"
Kiểm tra ánh sáng vườn xoài,"[{""type"": ""METRIC"", ""value"": ""ánh sáng"", ""start"": 9, ""end"": 17}, {""type"": ""AREA"", ""value"": ""vườn xoài"", ""start"": 18, ""end"": 27}]"
sầu riêng Musang King cần bón phân gì,"[{""type"": ""CROP"", ""value"": ""sầu riêng Musang King"", ""start"": 0, ""end"": 21}]"
Đất trồng phù hợp cho cây nấm bào ngư,"[{""type"": ""CROP"", ""value"": ""nấm bào ngư"", ""start"": 26, ""end"": 37}]"
Bón phân cho giai đoạn kích thích ra hoa ở củ dền như thế nào,"[{""type"": ""CROP"", ""value"": ""củ dền"", ""start"": 43, ""end"": 49}]"
độ ẩm đất của khu U hiện tại,"[{""type"": ""METRIC"", ""value"": ""độ ẩm đất"", ""start"": 0, ""end"": 9}, {""type"": ""AREA"", ""value"": ""khu U"", ""start"": 14, ""end"": 19}]"
Bệnh phấn trắng ở cải bó xôi xử lý như thế nào,"[{""type"": ""CROP"", ""value"": ""cải bó xôi"", ""start"": 18, ""end"": 28}]"
hành lá cần bón phân gì,"[{""type"": ""CROP"", ""value"": ""hành lá"", ""start"": 0, ""end"": 7}]"
