text,label
Ngưng máy phun sương ở khu B.,device_control
tạm ngừng quạt thông gió ở kho lạnh à,device_control
Xu hướng độ ẩm tháng này.,sensor_query
Tổng doanh thu tháng trước là bao nhiêu?,financial_query
Tự động cải tạo đèn khi độ ẩm < 50%.,device_control
VUI LÒNG KHỞI ĐỘNG VAN ĐIỆN TỪ SỐ 2,device_control
tạm ngừng đèn đi đi,device_control
Bật van tưới ở khu vực 1.,device_control
thử tôi nên ăn gì tối nay,unknown
cho tôi hỏi hãy cho biết độ ẩm đất trung bình của nông trại,sensor_query
giúp tôi ngày hôm nay là thứ là bao nhiêu,unknown
Cho xem bật máy bơm tính tổng nha,device_control
Cảm biến ánh sáng báo là mấy lux à,sensor_query
Doanh thu từ lúa năm 2024?,financial_query
Biểu đồ vốn đầu tư theo loại cây.,analytics_query
bạn ơi chu kỳ sinh trưởng của cây lúa,knowledge_query
bạn ơi dự báo nhu cầu nước tưới cho tuần tới,analytics_query
BẠN ƠI ĐỘ ẨM ĐẤT Ở KHU VỰC TRỒNG CAM,sensor_query
Cho xem phân tích chi phí thuốc trừ sâu nha,analytics_query
LÀM ƠN CHỈ ĐƯỜNG ĐẾN HỒ HOÀN KIẾM,unknown
Lợi nhuận của nông trại năm nay?,financial_query
hãy cảm ơn bạn,unknown
TẠO BIỂU ĐỒ TĂNG TRƯỞNG CỦA CÂY Ở KHU C NHÉ,analytics_query
Liệt kê vì sao bầu trời màu xanh.,unknown
Báo cáo tính tổng quan về sức khỏe cây trồng với,analytics_query
tính tổng doanh thu tháng này là bao nhiêu?,financial_query
hãy độ ẩm đất khu a là bao nhiêu phần trăm,sensor_query
Tính sản lượng của vườn cam.,financial_query
hãy phân tích chi phí sản xuất 1kg cà chua,analytics_query
Hãy cho biết bọ trĩ hại dưa hấu.,knowledge_query
hãy cho biết tổng cộng chi phí nhân công tháng 8.,financial_query
Dự báo chi phí tháng trước.,analytics_query
Liệt kê tổng kết thống mỹ hiện tại là ai.,unknown
Hãy cho biết cường độ ánh sáng hiện tại.,sensor_query
Cài đặt cảm biến chế độ là 25°C.,device_control
Thống kê tiền lãi 6 tháng đầu năm.,analytics_query
Nhiệt độ nước tưới là là mấy giúp tôi,sensor_query
cho tôi hỏi đồng eiffel ở đâu,unknown
cho xem báo cáo lỗ lãi giúp tôi,financial_query
Cài đặt đèn chế độ là 70%.,device_control
đóng tất cả các máy bơm ơi,device_control
Xem báo cáo lỗ lãi tuần này.,financial_query
cho xem tính tổng kết thu chi 6 tháng đầu năm.,financial_query
nhiệt độ ở đồng ruộng là mấy?,sensor_query
Cách làm bẫy pheromone giúp tôi,knowledge_query
Cách tưới nước bưởi da xanh?,knowledge_query
Tổng chi tiêu tháng này là bao nhiêu?,financial_query
dừng hệ thống châm phân à,device_control
táo bị lở cổ rễ xử lý thế nào?,knowledge_query
vụ đông xuân ở miền Nam nên trồng quýt nào?,knowledge_query
Cho liệt kê dữ liệu cảm biến của khu A với,sensor_query
Quy trình nhân giống hồ tiêu?,knowledge_query
Kiểm tra tất cả cảm biến ở khu B ơi,sensor_query
Nồng độ CO2 trong nhà kính là là bao nhiêu à,sensor_query
Chi phí thức ăn chăn nuôi năm 2024?,financial_query
Thời vụ bón phân chuối tiêu ở Tây Nguyên?,knowledge_query
Doanh thu từ rau muống tháng trước?,financial_query
vui lòng liệt kê khu vực nào có chi phí vận hành cao nhất,analytics_query
Dự báo công nợ quý này.,analytics_query
cho tôi biết sâu đục thân hại ngô xử lý thế nào?,knowledge_query
Cho xem thống kê số lần phun thuốc trong 3 tháng qua.,analytics_query
Liệt kê bạn có thông minh không nha,unknown
Liệt kê tổng doanh thu tháng nay là là bao nhiêu?,financial_query
giúp tôi con chó của tôi bị ốm,unknown
bạn ơi cho xem so sánh hiệu quả của 2 loại phân bón a và b,analytics_query
So sánh EC giữa khu A và khu B.,sensor_query
Xu hướng CO2 6 tháng đầu năm.,sensor_query
Xem số liệu độ ẩm đất 6 tháng đầu năm.,sensor_query
Xu hướng sản lượng hôm qua.,analytics_query
Cho xem phân tích lợi nhuận của mô hình xen canh.,analytics_query
xin hãy mua cổ phiếu nào tốt,unknown
Tính doanh thu của khu A.,financial_query
Bệnh virus vàng lá trên gừng nhận biết như thế nào?,knowledge_query
kích hoạt hệ thống châm phân à,device_control
Cảm biến mưa có hoạt động không giúp tôi,sensor_query
Bitcoin giá là mấy ơi,unknown
Khu vực nào có chi phí vận hành cao nhất?,analytics_query
xin hãy báo cáo thuế tháng nay,financial_query
thử tưới nước cho luống rau cải,device_control
Cho xem công nợ tháng 9.,financial_query
Hãy cho biết độ ẩm đất hiện tại là là bao nhiêu?,sensor_query
Cho tôi biết độ ph của đất ở luống 5 nha,sensor_query
Doanh thu từ hồ tiêu hôm nay?,financial_query
giúp tôi báo cáo tồn kho vật tư,analytics_query
CO2 cao nhất/thấp nhất năm nay?,sensor_query
Tạo báo cáo chi tiết về khu f xem nào,analytics_query
hãy cho liệt kê dữ liệu nhiệt độ 3 giờ qua,sensor_query
vui lòng độ ẩm đất trung bình của nông trại,sensor_query
Mở van xả nước đi,device_control
Hãy cho biết tôi có thể giúp gì cho bạn với,unknown
Hãy cho biết cách chăm sóc cây hồ tiêu mùa khô.,knowledge_query
Bật quạt ở khu A.,device_control
độ ẩm đất ở khu B là mấy?,sensor_query
Tạm biệt với,unknown
Đóng rèm che nắng nhà kính à,device_control
Kiểm tra 1 hecta lúa tuần này.,financial_query
So sánh tiền lãi giữa lúa và khu B.,analytics_query
Cho tra cứu chi phí hạt giống.,financial_query
Lên lịch máy phun sương 18h chiều.,device_control
thử đặt cho tôi một chiếc bánh pizza,unknown
dự kiến hòa vốn lúc nào nhé,financial_query
Kiểm tra vườn cam tháng 9.,financial_query
cho xem lại các khoản chi ngày hôm qua.,financial_query
Kỹ thuật trồng xen canh cho chè?,knowledge_query
Tạo báo cáo tổng kết năm.,analytics_query
độ ẩm ở vườn ươm là mấy?,sensor_query
Cách gieo hạt nấm bào ngư?,knowledge_query
Cho tôi biết bitcoin giá mấy giùm,unknown
Bật van tưới ở đồng ruộng.,device_control
Tắt cảm biến.,device_control
GIÁ VÀNG HÔM NÀY THẾ NÀO XEM NÀO,unknown
bạn ơi tổng kết doanh thu tháng này là bao nhiêu,financial_query
Cho xem doanh thu năm nay.,financial_query
Chi phí lớn nhất trong tháng là gì giùm,financial_query
cho tôi hỏi lịch sử việt nam,unknown
Quy trình trồng nấm hương?,knowledge_query
Mở van nước số 3.,device_control
Lên lịch quạt 6h sáng.,device_control
PHÂN TÍCH LỢI NHUẬN CỦA MÔ HÌNH XEN CANH NHÉ,analytics_query
bạn ơi phân tích mức độ tiêu thụ nước của khu b,analytics_query
Kỹ thuật aquaponics cho gừng?,knowledge_query
pH ở luống 2 là mấy?,sensor_query
hãy hãy cho biết toàn bộ tiền đã thu từ khách hàng x,financial_query
Tự động cải tạo máy phun sương khi nhiệt độ > 30°C.,device_control
Bệnh rầy xanh trên nghệ nhận biết như thế nào?,knowledge_query
Đang có phim gì hay ở rạp đi,unknown
giúp tôi cây bị vàng lá do thiếu chất gì,knowledge_query
Tổng thu nhập của tôi năm nay?,financial_query
Tự động nhân giống quạt khi độ ẩm < 50%.,device_control
cho tôi hỏi hãy cho biết phân lân có tác dụng gì,knowledge_query
EC ở luống 1 là mấy?,sensor_query
xin hãy phân tích rủi ro thời tiết ảnh hưởng đến vụ mùa,analytics_query
ánh sáng ở vườn ươm là mấy?,sensor_query
Hãy cho biết khu vực nào hoạt động hiệu quả nhất xem nào,analytics_query
cảm biến độ ẩm khu c báo là mấy giúp tôi,sensor_query
Xem số liệu ánh sáng hôm nay.,sensor_query
Kiểm tra nông trại quý này.,financial_query
cà phê bị vàng lá gân xanh xử lý thế nào?,knowledge_query
Làm sao để gieo hạt dưa chuột?,knowledge_query
HÃY CHO BIẾT CHI PHÍ THAY ĐỔI CHỮA MÁY BƠM NƯỚC.,financial_query
Vui lòng mật độ trồng cây sắn hợp lý,knowledge_query
Dự báo chi tiêu hôm qua.,analytics_query
Doanh thu từ ngô nếp tháng này?,financial_query
bạn ơi hãy cho biết trái đất hình gì,unknown
Cho tôi biết cây bị vàng lá do thiếu chất gì đi,knowledge_query
Làm sao để trồng tỏi?,knowledge_query
Thử dấu hiệu của lúa thiếu kali,knowledge_query
Cho tôi biết kỹ thuật tỉa cành cho cây bơ nha,knowledge_query
Bật máy bơm ở đồng ruộng.,device_control
bạn ơi liệt kê tổng cộng thống mỹ hiện tại là ai,unknown
Làm sao để tưới nước sầu riêng?,knowledge_query
Cho kiểm tra dữ liệu nhiệt độ 3 giờ qua.,sensor_query
làm ơn tính tổng tiền đã thu từ khách hàng x,financial_query
Kỹ thuật ghép cành cho cải ngọt?,knowledge_query
Cho tôi biết lịch sử việt nam nha,unknown
Liệt kê hiện tượng thối rễ trên cây sầu riêng.,knowledge_query
Dự báo sản lượng năm 2024.,analytics_query
Cho xem con chó của tôi bị ốm xem nào,unknown
Xem báo cáo lỗ lãi.,financial_query
bạn ơi dữ liệu cảm biến 1 giờ trước,sensor_query
Hãy cho biết mua cổ phiếu nào tốt à,unknown
cho tôi biết tin tức mới nhất hôm này nhé,unknown
vì sao bầu trời màu xanh giúp tôi,unknown
Làm sao để cải tạo rau ngót?,knowledge_query
Xu hướng doanh thu tháng 9.,analytics_query
doanh thu từ vườn ổi là là bao nhiêu xem nào,financial_query
Kiểm tra nông trại tuần này.,financial_query
Doanh thu từ đậu tương tuần này?,financial_query
Hãy cho biết cảm biến độ ẩm lá có ướt không.,sensor_query
Tổng công nợ hôm qua là bao nhiêu?,financial_query
Cho kiểm tra dữ liệu cảm biến của luống b2.,sensor_query
Lịch sử thu nhập của khu vực 1?,sensor_query
Xu hướng lợi nhuận tháng 9.,analytics_query
Hãy cho biết bạn có thông minh không.,unknown
độ ẩm ở luống 1 là mấy?,sensor_query
Phân tích doanh thu của 1 hecta lúa.,analytics_query
xin hãy hãy cho biết giống bưởi da xanh trồng ở đâu tốt nhất,knowledge_query
Cho xem phân tích hiệu quả sử dụng phân bón npk giùm,analytics_query
TRA CỨU CÔNG NỢ CỦA ĐẠI LÝ B NHA,financial_query
Bệnh bệnh héo xanh trên đậu nhận biết như thế nào?,knowledge_query
Cho tôi biết bệnh chổi rồng trên nhãn.,knowledge_query
kích hoạt hệ thống sưởi cho vườn ươm.,device_control
Tổng tiền điện tháng hiện tại?,financial_query
Lên lịch hệ thống tưới 6h sáng.,device_control
So sánh độ ẩm giữa vườn cam và vườn chanh.,sensor_query
Lợi ích của việc trồng cây họ đậu với,knowledge_query
Lượng mưa hôm nay đo được là bao nhiêu giùm,sensor_query
Cho xem báo cáo tỷ lệ sâu bệnh của vườn cam.,analytics_query
Ranking các vườn cam theo công nợ.,analytics_query
TỔNG CỘNG TIỀN ĐIỆN THÁNG HIỆN TẠI?,financial_query
Món phở nấu như thế nào?,unknown
vui lòng báo cáo về các khu vực đất trống,analytics_query
cảm ơn bạn giùm,unknown
Bọ trĩ hại dưa hấu?,knowledge_query
phân NPK có tác dụng gì?,knowledge_query
Liệt kê dữ liệu cảm biến độ ẩm gần nhất giúp tôi,sensor_query
lượng mưa hôm nay đo được là bao nhiêu ơi,sensor_query
Dự báo tiền lãi năm 2024.,analytics_query
Biểu đồ nhiệt độ tháng trước.,sensor_query
xin hãy cho tôi biết độ dẫn điện của đất (ec) ở khu a,sensor_query
Cài đặt động cơ chế độ là thấp.,device_control
Chi phí giống năm 2024?,financial_query
Kiểm tra cây sầu riêng 6 tháng đầu năm.,financial_query
Thời vụ thu hoạch dừa ở miền Bắc?,knowledge_query
Liệt kê độ ẩm đất có thấp quá không đi,sensor_query
Quy trình cải tạo rau muống?,knowledge_query
Tắt hệ thống chiếu sáng.,device_control
xin hãy tin tức mới nhất ngày hôm nay,unknown
Ngưng cửa sổ ở đồng ruộng.,device_control
Xu hướng lợi nhuận tuần này.,analytics_query
Chúc ngủ ngon nhé,unknown
làm ơn cho biết biểu đồ nhiệt độ hôm này,sensor_query
Cho máy bơm chạy 30 phút.,device_control
xin hãy mặt trăng quay quanh trái đất mất bao lâu,unknown
Bitcoin giá là bao nhiêu?,unknown
Kiểm tra vườn cam 6 tháng đầu năm.,financial_query
hôm này là thứ là mấy giúp tôi,unknown
Đang có phim gì hay ở rạp giùm,unknown
Cảm ơn bạn xem nào,unknown
TẠO BÁO CÁO CHI TIẾT VỀ KHU F NHÉ,analytics_query
thử cho tôi biết đội bóng nào vô địch world cup 2022,unknown
Độ ẩm không khí trong nhà màng đi,sensor_query
Điều chỉnh quạt về 25°C.,device_control
Tưới nước cho luống B2 ngay bây giờ.,device_control
Chi phí giống 6 tháng đầu năm?,financial_query
giúp tôi ngắt quạt ở khu a,device_control
CO2 ở luống 1 là mấy?,sensor_query
So sánh chi phí và doanh thu của vụ này giùm,analytics_query
tra cứu nhiệt độ nhà màng.,sensor_query
làm thế nào để giảm cân nhé,unknown
tổng cộng kết thu chi 6 tháng đầu năm nhé,financial_query
Cài đặt máy phun sương nhiệt độ là cao.,device_control
Liệt kê biện pháp canh tác nào giúp giữ ẩm cho đất.,knowledge_query
giúp tôi cho tôi biết bệnh xoăn lá trên cây ớt,knowledge_query
giúp tôi liệt kê thời tiết ngày mai ra sao,unknown
Hãy cho biết dữ liệu cảm biến độ ẩm gần nhất.,sensor_query
mùa hè ở Tây Nguyên nên trồng mít nào?,knowledge_query
vui lòng tưới nước cho luống b2 ngay bây giờ,device_control
Hãy cho biết tiền lãi vay ngân hàng tháng nay đi,financial_query
Hãy cho biết làm thế nào để giảm cân nha,unknown
giúp tôi thống kê số lần phun thuốc trong 3 tháng qua,analytics_query
Ngưng động cơ ở nhà kính.,device_control
tính lợi nhuận của khu a giùm,financial_query
giúp tôi thống kê chi phí theo từng loại cây trồng,analytics_query
Điều chỉnh cảm biến về mức 3.,device_control
Tắt van điện từ số 2.,device_control
tính tổng tiền điện tháng này giúp tôi,financial_query
Tắt hệ thống châm phân.,device_control
kiểm tra lại các khoản chi ngày hôm qua.,financial_query
Kiểm tra cảm biến ở khu vực mới đi,sensor_query
hãy liệt kê bạn là ai,unknown
Dashboard cho khu A.,analytics_query
Liệt kê biểu hiện thiếu kali trên lá cây.,knowledge_query
CHO XEM PHÂN TÍCH CHI PHÍ SẢN XUẤT 1KG CÀ CHUA XEM NÀO,analytics_query
Ngưng cảm biến ở khu vực 1.,device_control
Kiểm tra trạng thái động cơ.,device_control
Phân tích lợi nhuận của vườn cam.,analytics_query
giúp tôi cho xem báo cáo về các khu vực đất trống,analytics_query
Dự báo tiền lãi hôm nay.,analytics_query
Cây gì phù hợp trồng vào mùa hè?,knowledge_query
kích hoạt đèn sưởi cho cây con ơi,device_control
BẠN ƠI NHỆN ĐỎ HẠI CÂY CAM,knowledge_query
Tôi không hiểu xem nào,unknown
Điều khiển bơm nước 5 phút nữa ở khu C nhé,device_control
Nồng độ dinh dưỡng trong dung dịch thủy canh giúp tôi,sensor_query
Cho xem dừng máy bơm 2.,device_control
Cho tôi biết độ ẩm đất khu a là bao nhiêu phần trăm?,sensor_query
Cho xem tôi buồn quá giùm,unknown
pH ở đồng ruộng là mấy?,sensor_query
Kỹ thuật ghép cành cho bí đỏ?,knowledge_query
Dashboard cho khu vực 1.,analytics_query
Xu hướng ánh sáng năm nay.,sensor_query
Biểu đồ độ ẩm tháng trước.,sensor_query
Bật đèn ở vườn ươm.,device_control
Lịch sử Việt Nam ơi,unknown
Bệnh rệp sáp trên dưa lưới nhận biết như thế nào?,knowledge_query
Lịch sử lợi nhuận của vườn ươm?,sensor_query
VUI LÒNG HÃY CHO BIẾT BÀI HÁT ĐANG HOT HIỆN NAY,unknown
BÁO CÁO THUẾ THÁNG NAY GIÙM,financial_query
Cho xem mở máy phun sương 10 phút.,device_control
Lịch sử tiền lãi của khu C?,sensor_query
Cho xem mở hệ thống châm phân.,device_control
Lợi nhuận của khu B tháng trước?,financial_query
cho biết báo cáo tài chính tháng 9 ơi,financial_query
Cách cải tạo đất bị nhiễm phèn giùm,knowledge_query
Cho kiểm tra dữ liệu nhiệt độ 3 giờ qua à,sensor_query
Xu hướng ánh sáng tháng trước.,sensor_query
GIÚP TÔI KHU VỰC NÀO HOẠT ĐỘNG HIỆU QUẢ NHẤT,analytics_query
Ô tô điện hoạt động như thế nào đi,unknown
Hello,unknown
Chi phí điện nước tháng 9?,financial_query
Doanh thu từ tỏi tháng trước?,financial_query
Tuyệt vời!,unknown
tính tổng thống Mỹ hiện tại là ai xem nào,unknown
So sánh doanh thu giữa lúa và hồ tiêu.,analytics_query
Quy trình chăm sóc súp lơ?,knowledge_query
Ranking các vườn cam theo chi phí.,analytics_query
làm ơn mua cổ phiếu nào tốt,unknown
bạn có biết bơi không giúp tôi,unknown
Cách xử lý hạt giống trước khi gieo với,knowledge_query
Chi phí cố định hàng tháng là là bao nhiêu giúp tôi,financial_query
Bệnh ốc bươu vàng trên riềng nhận biết như thế nào?,knowledge_query
XIN HÃY CHO XEM TẠM BIỆT,unknown
Cho tôi biết độ ẩm đất trung bình của nông trại giùm,sensor_query
Tự động cải tạo quạt khi nhiệt độ > 30°C.,device_control
su hào bị chổi rồng xử lý thế nào?,knowledge_query
làm ơn bạn có biết bơi không,unknown
Bạn là ai nha,unknown
Cho tôi biết tôi nên ăn gì tối nay?,unknown
mít Thái bị đạo ôn xử lý thế nào?,knowledge_query
CHO XEM XEM BIỂU ĐỒ NHIỆT ĐỘ NGÀY HÔM NAY.,sensor_query
vui lòng cho xem so sánh năng suất năm này và năm ngoái,analytics_query
bạn ơi dấu hiệu thiếu đạm trên cây lúa,knowledge_query
Cho xem chi phí hôm qua.,financial_query
Cho xem công nợ hôm qua.,financial_query
Kỹ thuật VAC cho dưa hấu?,knowledge_query
Xem báo cáo thu chi tháng trước.,financial_query
Dự đoán lợi nhuận của vụ mùa tới nha,analytics_query
một cộng một bằng là mấy?,unknown
Báo cáo sản lượng thu hoạch tháng trước nhé,analytics_query
Dự đoán thời điểm thu hoạch rộ giùm,analytics_query
cho biết chi tiết chi phí ngày 10/10.,financial_query
vui lòng báo cáo sản lượng thu hoạch tháng trước,analytics_query
Tổng lợi nhuận quý này là bao nhiêu?,financial_query
Doanh thu từ cà chua quý này?,financial_query
Tự động trồng máy phun sương khi trời mưa.,device_control
Hãy cho biết hôm nay là thứ là mấy?,unknown
Tự động bón phân hệ thống tưới khi độ ẩm < 50%.,device_control
xin hãy cảm biến ánh sáng báo là mấy lux,sensor_query
Cài đặt rèm che tốc độ là 25°C.,device_control
Giúp tôi cho tôi biết mật độ trồng cây sắn hợp lý,knowledge_query
Liệt kê tổng kết tiền điện tháng này.,financial_query
Xem số liệu ánh sáng tháng trước.,sensor_query
hãy cho biết nồng độ dinh dưỡng trong dung dịch thủy canh.,sensor_query
Đóng van nước số 1.,device_control
CHO XEM DỪNG HỆ THỐNG TƯỚI Ở NHÀ MÀNG SỐ 1 VỚI,device_control
thử thống kê chi phí theo từng loại cây trồng,analytics_query
CHO TÔI HỎI KHỞI ĐỘNG MÁY BƠM Ở KHU A TRONG 15 PHÚT,device_control
Tự động gieo hạt cửa sổ khi trời mưa.,device_control
Quy trình phòng trừ vú sữa?,knowledge_query
Thời vụ phòng trừ khoai sọ ở miền Bắc?,knowledge_query
Cho xem kiểm tra ánh sáng ở vườn ươm nhé,sensor_query
làm ơn kiểm tra nhiệt độ kho lạnh,sensor_query
Liệt kê cách bón vôi cho đất.,knowledge_query
Cho tôi biết ai đã viết 'truyện kiều'.,unknown
GIÚP TÔI KÍCH HOẠT VAN ĐIỆN TỪ SỐ 2,device_control
vì sao cần bón lót ơi,knowledge_query
Tự động bón phân cửa sổ khi nhiệt độ > 30°C.,device_control
So sánh nhiệt độ giữa khu A và khu B.,sensor_query
Thời vụ trồng mía ở miền Trung?,knowledge_query
Lịch sử chi tiêu của vườn cam?,sensor_query
là mấy giờ rồi nhé,unknown
hãy cho tôi biết là bao nhiêu giờ rồi,unknown
Bệnh sâu đục quả trên đậu nhận biết như thế nào?,knowledge_query
Làm sao để gieo hạt cải ngọt?,knowledge_query
hãy phân tích hiệu quả của nhân công,analytics_query
Liệt kê bạn là ai giúp tôi,unknown
Hiệu suất vụ mùa như thế nào?,analytics_query
Cho tôi biết khu vực nào cần ưu tiên cải tạo.,analytics_query
Tự động bón phân máy bơm khi độ ẩm < 50%.,device_control
Báo cáo về các hoạt động đã hoàn thành đi,analytics_query
Cho xem hẹn 5 giờ sáng mai tưới khu a nhé,device_control
Quy trình thu hoạch táo?,knowledge_query
Hãy cho biết nhiệt độ đất ở luống 3 xem nào,sensor_query
Liệt kê học lập trình bắt đầu từ đâu.,unknown
Tiền thuốc trừ sâu đã chi là mấy đi,financial_query
Xem báo cáo thuế hôm qua.,financial_query
Kiểm tra nông trại tháng trước.,financial_query
So sánh doanh thu giữa ngô và khu B.,analytics_query
vụ đông xuân ở miền Bắc nên trồng cần tây nào?,knowledge_query
Báo cáo sản lượng thu hoạch tháng trước giùm,analytics_query
Nhận biết cây thiếu nitơ nhé,knowledge_query
Kiểm tra trạng thái cảm biến.,device_control
tỷ giá hối đoái ngày hôm nay giúp tôi,unknown
hồ tiêu bị sâu tơ xử lý thế nào?,knowledge_query
Vui lòng cho xem kích hoạt máy bơm 1,device_control
XIN HÃY LIỆT KÊ MẬT ĐỘ TRỒNG CÂY SẮN HỢP LÝ,knowledge_query
Chi phí thuốc trừ sâu năm 2024?,financial_query
Dự báo chi tiêu 6 tháng đầu năm.,analytics_query
Cho xem tạo biểu đồ tăng trưởng của cây ở khu c nhé,analytics_query
Xu hướng thu nhập năm nay.,analytics_query
Cho tôi biết kỹ thuật tỉa cành cho cây bơ với,knowledge_query
Giống bưởi da xanh trồng ở đâu tốt nhất với,knowledge_query
Lên lịch máy bơm vào buổi sáng.,device_control
kiểm tra báo cáo lỗ lãi.,financial_query
Liệt kê các chi phí của khu B ơi,financial_query
thử tính tổng thống mỹ hiện tại là ai,unknown
Thời vụ nhân giống thanh long ruột đỏ ở miền Nam?,knowledge_query
Liệt kê toàn bộ thống mỹ hiện tại là ai.,unknown
lượng mưa hôm này đo được là mấy?,sensor_query
thử do đâu bầu trời màu xanh,unknown
Cho tôi biết độ ẩm đất hiện tại là mấy đi,sensor_query
Cây trồng nào đang mang lại lợi nhuận cao nhất ơi,analytics_query
Xem báo cáo dòng tiền hôm qua.,financial_query
xin hãy báo cáo tổng cộng quan về sức khỏe cây trồng,analytics_query
Cài đặt van tưới chế độ là thấp.,device_control
Hãy cho biết dự báo giá bán nông sản tháng sau.,analytics_query
Phân tích thu nhập của khu B.,analytics_query
cho tôi hỏi mua cổ phiếu nào tốt,unknown
mùa khô nên trồng cây gì?,knowledge_query
Lịch sử vốn đầu tư của khu A?,sensor_query
vui lòng liệt kê ai đã viết 'truyện kiều',unknown
hãy dấu hiệu thiếu dinh dưỡng trên lúa,knowledge_query
Mở máy phun sương 10 phút.,device_control
