text,entities
"quạt đối lưu khu A đang tắt","[{""type"":""DEVICE"",""value"":""quạt đối lưu"",""start"":0,""end"":12}]"
"cảm biến ánh sáng có vấn đề","[{""type"":""DEVICE"",""value"":""cảm biến ánh sáng"",""start"":0,""end"":18}]"
"bật máy sưởi","[{""type"":""DEVICE"",""value"":""máy sưởi"",""start"":4,""end"":12}]"
"tắt máy sấy nông sản","[{""type"":""DEVICE"",""value"":""máy sấy nông sản"",""start"":4,""end"":20}]"
"trạm thời tiết báo gì?","[{""type"":""DEVICE"",""value"":""trạm thời tiết"",""start"":0,""end"":14}]"
"cảm biến CO2 đang báo động","[{""type"":""DEVICE"",""value"":""cảm biến CO2"",""start"":0,""end"":12}]"
"khởi động máy bơm 1","[{""type"":""DEVICE"",""value"":""máy bơm 1"",""start"":10,""end"":19}]"
"tắt van 3","[{""type"":""DEVICE"",""value"":""van 3"",""start"":4,""end"":9}]"
"máy gặt đang hoạt động","[{""type"":""DEVICE"",""value"":""máy gặt"",""start"":0,""end"":7}]"
"công tắc thông minh số 5","[{""type"":""DEVICE"",""value"":""công tắc thông minh số 5"",""start"":0,""end"":24}]"
"sửa chữa nhà màng","[{""type"":""DEVICE"",""value"":""nhà màng"",""start"":9,""end"":17}]"
"cảm biến EC bị hỏng","[{""type"":""DEVICE"",""value"":""cảm biến EC"",""start"":0,""end"":11}]"
"bật đèn sưởi cho gà","[{""type"":""DEVICE"",""value"":""đèn sưởi"",""start"":4,""end"":12}]"
"tắt hệ thống tưới phun sương","[{""type"":""DEVICE"",""value"":""hệ thống tưới phun sương"",""start"":4,""end"":29}]"
"cảm biến mực nước báo đầy","[{""type"":""DEVICE"",""value"":""cảm biến mực nước"",""start"":0,""end"":18}]"
"kết nối với máy ấp trứng","[{""type"":""DEVICE"",""value"":""máy ấp trứng"",""start"":13,""end"":25}]"
"van tưới khu B không mở","[{""type"":""DEVICE"",""value"":""van tưới khu B"",""start"":0,""end"":14}]"
"kiểm tra lại cảm biến gió","[{""type"":""DEVICE"",""value"":""cảm biến gió"",""start"":14,""end"":26}]"
"mở rèm che nắng","[{""type"":""DEVICE"",""value"":""rèm che nắng"",""start"":3,""end"":15}]"
"đóng lưới cắt nắng","[{""type"":""DEVICE"",""value"":""lưới cắt nắng"",""start"":5,""end"":18}]"
"cảm biến mưa đang báo","[{""type"":""DEVICE"",""value"":""cảm biến mưa"",""start"":0,""end"":12}]"
"tắt đèn UV","[{""type"":""DEVICE"",""value"":""đèn UV"",""start"":4,""end"":10}]"
"bật bơm chìm","[{""type"":""DEVICE"",""value"":""bơm chìm"",""start"":4,""end"":12}]"
"hệ thống aquaponics đang chạy","[{""type"":""DEVICE"",""value"":""hệ thống aquaponics"",""start"":0,""end"":19}]"
"cảm biến nồng độ oxy","[{""type"":""DEVICE"",""value"":""cảm biến nồng độ oxy"",""start"":0,""end"":21}]"
"máy đo pH cầm tay","[{""type"":""DEVICE"",""value"":""máy đo pH cầm tay"",""start"":0,""end"":17}]"
"khởi động máy phát điện","[{""type"":""DEVICE"",""value"":""máy phát điện"",""start"":10,""end"":23}]"
"kiểm tra cảm biến lá","[{""type"":""DEVICE"",""value"":""cảm biến lá"",""start"":10,""end"":21}]"
"tắt bơm tăng áp","[{""type"":""DEVICE"",""value"":""bơm tăng áp"",""start"":4,""end"":15}]"
"cảm biến độ mặn bị lỗi","[{""type"":""DEVICE"",""value"":""cảm biến độ mặn"",""start"":0,""end"":16}]"
"bật máy sục khí","[{""type"":""DEVICE"",""value"":""máy sục khí"",""start"":4,""end"":15}]"
"hệ thống thủy canh đang hoạt động","[{""type"":""DEVICE"",""value"":""hệ thống thủy canh"",""start"":0,""end"":19}]"
"kiểm tra nhiệt độ","[{""type"":""SENSOR_TYPE"",""value"":""nhiệt độ"",""start"":10,""end"":18}]"
"xem độ ẩm đất","[{""type"":""SENSOR_TYPE"",""value"":""độ ẩm đất"",""start"":4,""end"":15}]"
"ánh sáng hiện tại là bao nhiêu?","[{""type"":""SENSOR_TYPE"",""value"":""ánh sáng"",""start"":0,""end"":9}]"
"độ ẩm không khí đang cao","[{""type"":""SENSOR_TYPE"",""value"":""độ ẩm không khí"",""start"":0,""end"":16}]"
"cho xem nồng độ CO2","[{""type"":""SENSOR_TYPE"",""value"":""nồng độ CO2"",""start"":8,""end"":19}]"
"đo pH của đất","[{""type"":""SENSOR_TYPE"",""value"":""pH của đất"",""start"":3,""end"":13}]"
"EC nước tưới là mấy?","[{""type"":""SENSOR_TYPE"",""value"":""EC nước tưới"",""start"":0,""end"":12}]"
"cường độ ánh sáng đang thấp","[{""type"":""SENSOR_TYPE"",""value"":""cường độ ánh sáng"",""start"":0,""end"":18}]"
"nhiệt độ đất là bao nhiêu?","[{""type"":""SENSOR_TYPE"",""value"":""nhiệt độ đất"",""start"":0,""end"":12}]"
"xem lượng mưa hôm nay","[{""type"":""SENSOR_TYPE"",""value"":""lượng mưa"",""start"":4,""end"":13}]"
"kiểm tra tốc độ gió","[{""type"":""SENSOR_TYPE"",""value"":""tốc độ gió"",""start"":10,""end"":20}]"
"hướng gió hiện tại?","[{""type"":""SENSOR_TYPE"",""value"":""hướng gió"",""start"":0,""end"":9}]"
"đo độ mặn của nước","[{""type"":""SENSOR_TYPE"",""value"":""độ mặn của nước"",""start"":3,""end"":19}]"
"nồng độ dinh dưỡng trong dung dịch?","[{""type"":""SENSOR_TYPE"",""value"":""nồng độ dinh dưỡng"",""start"":0,""end"":18}]"
"nhiệt độ lá đang cao","[{""type"":""SENSOR_TYPE"",""value"":""nhiệt độ lá"",""start"":0,""end"":11}]"
"kiểm tra bức xạ mặt trời","[{""type"":""SENSOR_TYPE"",""value"":""bức xạ mặt trời"",""start"":10,""end"":26}]"
"cho xem chỉ số PAR","[{""type"":""SENSOR_TYPE"",""value"":""PAR"",""start"":14,""end"":17}]"
"nồng độ oxy hòa tan (DO) là bao nhiêu?","[{""type"":""SENSOR_TYPE"",""value"":""nồng độ oxy hòa tan (DO)"",""start"":0,""end"":26}]"
"xem mực nước trong bể","[{""type"":""SENSOR_TYPE"",""value"":""mực nước"",""start"":4,""end"":12}]"
"độ pH nước tưới?","[{""type"":""SENSOR_TYPE"",""value"":""pH nước tưới"",""start"":3,""end"":15}]"
"chỉ số lux hiện tại?","[{""type"":""SENSOR_TYPE"",""value"":""lux"",""start"":8,""end"":11}]"
"áp suất không khí là bao nhiêu?","[{""type"":""SENSOR_TYPE"",""value"":""áp suất không khí"",""start"":0,""end"":17}]"
"độ ẩm lá có cao không?","[{""type"":""SENSOR_TYPE"",""value"":""độ ẩm lá"",""start"":0,""end"":9}]"
"kiểm tra nồng độ NPK","[{""type"":""SENSOR_TYPE"",""value"":""nồng độ NPK"",""start"":10,""end"":21}]"
"đo độ dẫn điện của đất","[{""type"":""SENSOR_TYPE"",""value"":""độ dẫn điện của đất"",""start"":3,""end"":22}]"
"nhiệt độ nước trong hồ?","[{""type"":""SENSOR_TYPE"",""value"":""nhiệt độ nước"",""start"":0,""end"":13}]"
"xem nồng độ oxy","[{""type"":""SENSOR_TYPE"",""value"":""nồng độ oxy"",""start"":4,""end"":15}]"
"chỉ số ORP của nước?","[{""type"":""SENSOR_TYPE"",""value"":""ORP"",""start"":8,""end"":11}]"
"độ đục của nước là bao nhiêu?","[{""type"":""SENSOR_TYPE"",""value"":""độ đục của nước"",""start"":0,""end"":16}]"
"kiểm tra độ ẩm đất khu A","[{""type"":""SENSOR_TYPE"",""value"":""độ ẩm đất"",""start"":10,""end"":21}]"
"nhiệt độ khu C đang là mấy?","[{""type"":""SENSOR_TYPE"",""value"":""nhiệt độ"",""start"":0,""end"":8}]"
"ánh sáng vườn ươm thế nào?","[{""type"":""SENSOR_TYPE"",""value"":""ánh sáng"",""start"":0,""end"":9}]"
"lấy giá trị pH","[{""type"":""SENSOR_TYPE"",""value"":""pH"",""start"":12,""end"":14}]"
"cho tôi chỉ số EC","[{""type"":""SENSOR_TYPE"",""value"":""EC"",""start"":15,""end"":17}]"
"độ ẩm hôm nay?","[{""type"":""SENSOR_TYPE"",""value"":""độ ẩm"",""start"":0,""end"":6}]"
"nhiệt độ ngoài trời?","[{""type"":""SENSOR_TYPE"",""value"":""nhiệt độ ngoài trời"",""start"":0,""end"":19}]"
"nhiệt độ trong nhà màng?","[{""type"":""SENSOR_TYPE"",""value"":""nhiệt độ"",""start"":0,""end"":8}]"
"xem nồng độ O2","[{""type"":""SENSOR_TYPE"",""value"":""nồng độ O2"",""start"":4,""end"":14}]"
"đo độ mặn","[{""type"":""SENSOR_TYPE"",""value"":""độ mặn"",""start"":3,""end"":9}]"
"mực nước còn bao nhiêu?","[{""type"":""SENSOR_TYPE"",""value"":""mực nước"",""start"":0,""end"":9}]"
"lượng mưa 1 giờ qua?","[{""type"":""SENSOR_TYPE"",""value"":""lượng mưa"",""start"":0,""end"":9}]"
"tốc độ gió trung bình?","[{""type"":""SENSOR_TYPE"",""value"":""tốc độ gió"",""start"":0,""end"":10}]"
"chỉ số tia UV?","[{""type"":""SENSOR_TYPE"",""value"":""tia UV"",""start"":8,""end"":14}]"
"đo pH nước","[{""type"":""SENSOR_TYPE"",""value"":""pH nước"",""start"":3,""end"":10}]"
"độ ẩm đất đang thấp","[{""type"":""SENSOR_TYPE"",""value"":""độ ẩm đất"",""start"":0,""end"":11}]"
"xem nhiệt độ kho lạnh","[{""type"":""SENSOR_TYPE"",""value"":""nhiệt độ"",""start"":4,""end"":12}]"
"nồng độ CO2 quá cao","[{""type"":""SENSOR_TYPE"",""value"":""nồng độ CO2"",""start"":0,""end"":11}]"
"kiểm tra ánh sáng khu B","[{""type"":""SENSOR_TYPE"",""value"":""ánh sáng"",""start"":10,""end"":18}]"
"độ dẫn điện EC là bao nhiêu?","[{""type"":""SENSOR_TYPE"",""value"":""độ dẫn điện EC"",""start"":0,""end"":14}]"
"giá trị nồng độ dinh dưỡng?","[{""type"":""SENSOR_TYPE"",""value"":""nồng độ dinh dưỡng"",""start"":9,""end"":27}]"
"nhiệt độ hiện tại là 25°C","[{""type"":""METRIC_VALUE"",""value"":""25°C"",""start"":21,""end"":25}]"
"độ ẩm đất đang là 78%","[{""type"":""METRIC_VALUE"",""value"":""78%"",""start"":17,""end"":20}]"
"ánh sáng đo được 8000 lux","[{""type"":""METRIC_VALUE"",""value"":""8000 lux"",""start"":16,""end"":24}]"
"nồng độ CO2 là 1200 ppm","[{""type"":""METRIC_VALUE"",""value"":""1200 ppm"",""start"":14,""end"":22}]"
"độ pH của đất là 6.5","[{""type"":""METRIC_VALUE"",""value"":""6.5"",""start"":19,""end"":22}]"
"chỉ số EC đo được 1.8","[{""type"":""METRIC_VALUE"",""value"":""1.8"",""start"":17,""end"":20}]"
"lượng mưa hôm nay 15mm","[{""type"":""METRIC_VALUE"",""value"":""15mm"",""start"":16,""end"":20}]"
"tốc độ gió 2.5 m/s","[{""type"":""METRIC_VALUE"",""value"":""2.5 m/s"",""start"":12,""end"":19}]"
"nhiệt độ đang ở 31 độ","[{""type"":""METRIC_VALUE"",""value"":""31 độ"",""start"":16,""end"":21}]"
"độ ẩm không khí 92 phần trăm","[{""type"":""METRIC_VALUE"",""value"":""92 phần trăm"",""start"":18,""end"":30}]"
"nhiệt độ nước là 22.5 độ C","[{""type"":""METRIC_VALUE"",""value"":""22.5 độ C"",""start"":17,""end"":26}]"
"độ mặn nước 0.3 ppt","[{""type"":""METRIC_VALUE"",""value"":""0.3 ppt"",""start"":13,""end"":20}]"
"áp suất không khí 101 kPa","[{""type"":""METRIC_VALUE"",""value"":""101 kPa"",""start"":19,""end"":26}]"
"giá trị pH là 5.0","[{""type"":""METRIC_VALUE"",""value"":""5.0"",""start"":14,""end"":17}]"
"đo được EC 2.1","[{""type"":""METRIC_VALUE"",""value"":""2.1"",""start"":11,""end"":14}]"
"ánh sáng chỉ 300 lux","[{""type"":""METRIC_VALUE"",""value"":""300 lux"",""start"":12,""end"":19}]"
"nhiệt độ kho lạnh -5°C","[{""type"":""METRIC_VALUE"",""value"":""-5°C"",""start"":17,""end"":21}]"
"độ ẩm đang ở mức 60%","[{""type"":""METRIC_VALUE"",""value"":""60%"",""start"":19,""end"":22}]"
"nồng độ ppm là 800","[{""type"":""METRIC_VALUE"",""value"":""800"",""start"":15,""end"":18}]"
"độ ẩm quá cao, 99%","[{""type"":""METRIC_VALUE"",""value"":""99%"",""start"":17,""end"":20}]"
"nhiệt độ 40 độ C là quá nóng","[{""type"":""METRIC_VALUE"",""value"":""40 độ C"",""start"":9,""end"":16}]"
"chỉ số PAR là 1500","[{""type"":""METRIC_VALUE"",""value"":""1500"",""start"":15,""end"":19}]"
"nồng độ oxy 8 mg/L","[{""type"":""METRIC_VALUE"",""value"":""8 mg/L"",""start"":13,""end"":19}]"
"pH nước 7.2","[{""type"":""METRIC_VALUE"",""value"":""7.2"",""start"":8,""end"":11}]"
"EC đất 0.8","[{""type"":""METRIC_VALUE"",""value"":""0.8"",""start"":7,""end"":10}]"
"độ ẩm 55.5%","[{""type"":""METRIC_VALUE"",""value"":""55.5%"",""start"":7,""end"":12}]"
"nhiệt độ 28.3 độ","[{""type"":""METRIC_VALUE"",""value"":""28.3 độ"",""start"":9,""end"":16}]"
"lượng mưa 0mm","[{""type"":""METRIC_VALUE"",""value"":""0mm"",""start"":10,""end"":13}]"
"gió 15 km/h","[{""type"":""METRIC_VALUE"",""value"":""15 km/h"",""start"":4,""end"":11}]"
"độ ẩm đất 45%","[{""type"":""METRIC_VALUE"",""value"":""45%"",""start"":12,""end"":15}]"
"nhiệt độ chỉ 15 độ","[{""type"":""METRIC_VALUE"",""value"":""15 độ"",""start"":12,""end"":17}]"
"ánh sáng 12000 lux","[{""type"":""METRIC_VALUE"",""value"":""12000 lux"",""start"":9,""end"":18}]"
"CO2 600 ppm","[{""type"":""METRIC_VALUE"",""value"":""600 ppm"",""start"":4,""end"":11}]"
"pH 8.1","[{""type"":""METRIC_VALUE"",""value"":""8.1"",""start"":3,""end"":6}]"
"EC 3.0","[{""type"":""METRIC_VALUE"",""value"":""3.0"",""start"":3,""end"":6}]"
"nhiệt độ 27C","[{""type"":""METRIC_VALUE"",""value"":""27C"",""start"":9,""end"":12}]"
"độ ẩm 68 %","[{""type"":""METRIC_VALUE"",""value"":""68 %"",""start"":7,""end"":11}]"
"giá trị đo được là 42","[{""type"":""METRIC_VALUE"",""value"":""42"",""start"":20,""end"":22}]"
"độ mặn 1.2 ppt","[{""type"":""METRIC_VALUE"",""value"":""1.2 ppt"",""start"":8,""end"":15}]"
"nhiệt độ xuống 10 độ","[{""type"":""METRIC_VALUE"",""value"":""10 độ"",""start"":14,""end"":19}]"
"độ ẩm 100%","[{""type"":""METRIC_VALUE"",""value"":""100%"",""start"":7,""end"":11}]"
"ánh sáng 0 lux","[{""type"":""METRIC_VALUE"",""value"":""0 lux"",""start"":9,""end"":14}]"
"CO2 450ppm","[{""type"":""METRIC_VALUE"",""value"":""450ppm"",""start"":4,""end"":10}]"
"pH đất 7.0","[{""type"":""METRIC_VALUE"",""value"":""7.0"",""start"":7,""end"":10}]"
"EC 1.0","[{""type"":""METRIC_VALUE"",""value"":""1.0"",""start"":3,""end"":6}]"
"nhiệt độ 32.7 độ","[{""type"":""METRIC_VALUE"",""value"":""32.7 độ"",""start"":9,""end"":16}]"
"độ ẩm 88%","[{""type"":""METRIC_VALUE"",""value"":""88%"",""start"":7,""end"":10}]"
"lượng mưa 50 mm","[{""type"":""METRIC_VALUE"",""value"":""50 mm"",""start"":10,""end"":15}]"
"gió 0 m/s","[{""type"":""METRIC_VALUE"",""value"":""0 m/s"",""start"":4,""end"":9}]"
"giá trị là 25 độ","[{""type"":""METRIC_VALUE"",""value"":""25 độ"",""start"":11,""end"":16}]"
"kiểm tra lịch hôm nay","[{""type"":""DATE"",""value"":""hôm nay"",""start"":14,""end"":21}]"
"ngày mai tưới nước nhé","[{""type"":""DATE"",""value"":""ngày mai"",""start"":0,""end"":8}]"
"hôm qua tôi đã bón phân","[{""type"":""DATE"",""value"":""hôm qua"",""start"":0,""end"":7}]"
"báo cáo chi phí tuần này","[{""type"":""DATE"",""value"":""tuần này"",""start"":16,""end"":24}]"
"doanh thu của tháng này","[{""type"":""DATE"",""value"":""tháng này"",""start"":13,""end"":22}]"
"kế hoạch cho năm nay","[{""type"":""DATE"",""value"":""năm nay"",""start"":12,""end"":19}]"
"tuần trước đã phun thuốc","[{""type"":""DATE"",""value"":""tuần trước"",""start"":0,""end"":10}]"
"tháng trước mưa nhiều","[{""type"":""DATE"",""value"":""tháng trước"",""start"":0,""end"":11}]"
"năm ngoái năng suất cao","[{""type"":""DATE"",""value"":""năm ngoái"",""start"":0,""end"":9}]"
"lịch làm việc tuần sau","[{""type"":""DATE"",""value"":""tuần sau"",""start"":14,""end"":22}]"
"đặt hàng cho tháng tới","[{""type"":""DATE"",""value"":""tháng tới"",""start"":12,""end"":21}]"
"dự báo cho năm sau","[{""type"":""DATE"",""value"":""năm sau"",""start"":11,""end"":18}]"
"thu hoạch vào ngày 15/10","[{""type"":""DATE"",""value"":""15/10"",""start"":15,""end"":20}]"
"hóa đơn ngày 20-11-2024","[{""type"":""DATE"",""value"":""20-11-2024"",""start"":12,""end"":22}]"
"ghi lại sự kiện 01/01","[{""type"":""DATE"",""value"":""01/01"",""start"":16,""end"":21}]"
"hẹn tưới lúc 5 giờ sáng","[{""type"":""DATE"",""value"":""5 giờ sáng"",""start"":13,""end"":23}]"
"bật đèn lúc 6h tối","[{""type"":""DATE"",""value"":""6h tối"",""start"":12,""end"":18}]"
"họp vào 14h chiều nay","[{""type"":""DATE"",""value"":""14h chiều nay"",""start"":8,""end"":21}]"
"báo cáo của quý 1","[{""type"":""DATE"",""value"":""quý 1"",""start"":12,""end"":17}]"
"doanh thu quý 4 năm 2023","[{""type"":""DATE"",""value"":""quý 4 năm 2023"",""start"":10,""end"":24}]"
"chi phí 6 tháng đầu năm","[{""type"":""DATE"",""value"":""6 tháng đầu năm"",""start"":8,""end"":23}]"
"kết quả 3 tháng cuối năm","[{""type"":""DATE"",""value"":""3 tháng cuối năm"",""start"":8,""end"":24}]"
"lịch họp ngày 1 tháng 5","[{""type"":""DATE"",""value"":""1 tháng 5"",""start"":11,""end"":20}]"
"tôi đi vắng 3 ngày nữa","[{""type"":""DATE"",""value"":""3 ngày nữa"",""start"":12,""end"":22}]"
"cách đây 2 tuần đã tưới","[{""type"":""DATE"",""value"":""cách đây 2 tuần"",""start"":0,""end"":15}]"
"hạn chót là thứ 6","[{""type"":""DATE"",""value"":""thứ 6"",""start"":13,""end"":18}]"
"chủ nhật này nghỉ","[{""type"":""DATE"",""value"":""chủ nhật này"",""start"":0,""end"":12}]"
"làm việc vào thứ hai tuần sau","[{""type"":""DATE"",""value"":""thứ hai tuần sau"",""start"":12,""end"":28}]"
"hôm kia trời mưa to","[{""type"":""DATE"",""value"":""hôm kia"",""start"":0,""end"":7}]"
"ngày kia sẽ gieo hạt","[{""type"":""DATE"",""value"":""ngày kia"",""start"":0,""end"":8}]"
"bây giờ là mấy giờ?","[{""type"":""DATE"",""value"":""bây giờ"",""start"":0,""end"":6}]"
"sáng nay có hoạt động gì?","[{""type"":""DATE"",""value"":""sáng nay"",""start"":0,""end"":8}]"
"chiều nay tôi bận","[{""type"":""DATE"",""value"":""chiều nay"",""start"":0,""end"":9}]"
"tối qua có mưa không?","[{""type"":""DATE"",""value"":""tối qua"",""start"":0,""end"":7}]"
"trưa mai ăn gì?","[{""type"":""DATE"",""value"":""trưa mai"",""start"":0,""end"":8}]"
"cuối tuần này đi đâu?","[{""type"":""DATE"",""value"":""cuối tuần này"",""start"":0,""end"":13}]"
"đầu tháng sau lĩnh lương","[{""type"":""DATE"",""value"":""đầu tháng sau"",""start"":0,""end"":13}]"
